id_subsistema,id_estado,nom_localizacao,nom_tipousina,val_geracaoprogramada,val_geracaoverificada,val_capacidadeinstalada,val_fatorcapacidade,data
NE,CE,Litoral,Eólica,38.5,31.386,54.6,0.5748351648351648,2009-07-01
NE,CE,Litoral,Eólica,14.0,15.648,105.0,0.1490285714285714,2009-07-01
NE,RN,Litoral,Eólica,0.0,13.176,51.0,0.2583529411764705,2009-07-01
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-01
S,RS,,Eólica,0.0,58.562,70.0,0.8366,2009-07-01
NE,CE,Litoral,Eólica,40.5,32.033,54.6,0.5866849816849816,2009-07-01
NE,CE,Litoral,Eólica,14.5,5.12,105.0,0.0487619047619047,2009-07-01
NE,RN,Litoral,Eólica,0.0,12.826,51.0,0.2514901960784313,2009-07-01
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-01
S,RS,,Eólica,0.0,56.773,70.0,0.8110428571428571,2009-07-01
NE,CE,Litoral,Eólica,41.5,29.423,54.6,0.5388827838827838,2009-07-01
NE,CE,Litoral,Eólica,16.5,8.854,105.0,0.0843238095238095,2009-07-01
NE,RN,Litoral,Eólica,0.0,10.176,51.0,0.1995294117647058,2009-07-01
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-01
S,RS,,Eólica,0.0,42.539,70.0,0.6077,2009-07-01
NE,CE,Litoral,Eólica,41.5,28.15,54.6,0.5155677655677655,2009-07-01
NE,CE,Litoral,Eólica,19.0,11.005,105.0,0.1048095238095238,2009-07-01
NE,RN,Litoral,Eólica,0.0,8.448,51.0,0.1656470588235294,2009-07-01
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-01
S,RS,,Eólica,0.0,21.732,70.0,0.3104571428571428,2009-07-01
NE,CE,Litoral,Eólica,40.0,20.873,54.6,0.3822893772893772,2009-07-01
NE,CE,Litoral,Eólica,25.0,15.218,105.0,0.1449333333333333,2009-07-01
NE,RN,Litoral,Eólica,0.0,7.127,51.0,0.1397450980392156,2009-07-01
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-01
S,RS,,Eólica,0.0,14.169,70.0,0.2024142857142857,2009-07-02
NE,CE,Litoral,Eólica,42.5,23.742,54.6,0.4348351648351648,2009-07-02
NE,CE,Litoral,Eólica,22.0,15.197,105.0,0.1447333333333333,2009-07-02
NE,RN,Litoral,Eólica,0.0,11.176,51.0,0.2191372549019607,2009-07-02
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-02
S,RS,,Eólica,0.0,8.504,70.0,0.1214857142857142,2009-07-02
NE,CE,Litoral,Eólica,41.0,26.787,54.6,0.4906043956043956,2009-07-02
NE,CE,Litoral,Eólica,26.0,16.449,105.0,0.1566571428571428,2009-07-02
NE,RN,Litoral,Eólica,0.0,8.09,51.0,0.1586274509803921,2009-07-02
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-02
S,RS,,Eólica,0.0,7.481,70.0,0.1068714285714285,2009-07-02
NE,CE,Litoral,Eólica,37.5,28.696,54.6,0.5255677655677655,2009-07-02
NE,CE,Litoral,Eólica,23.0,15.184,105.0,0.1446095238095238,2009-07-02
NE,RN,Litoral,Eólica,0.0,3.98,51.0,0.0780392156862745,2009-07-02
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-02
S,RS,,Eólica,0.0,1.388,70.0,0.0198285714285714,2009-07-02
NE,CE,Litoral,Eólica,41.5,34.92,54.6,0.6395604395604395,2009-07-02
NE,CE,Litoral,Eólica,35.5,29.115,105.0,0.2772857142857142,2009-07-02
NE,RN,Litoral,Eólica,0.0,6.582,51.0,0.1290588235294117,2009-07-02
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-02
S,RS,,Eólica,0.0,2.98,70.0,0.0425714285714285,2009-07-02
NE,CE,Litoral,Eólica,43.0,39.905,54.6,0.7308608058608058,2009-07-02
NE,CE,Litoral,Eólica,63.5,45.705,105.0,0.4352857142857142,2009-07-02
NE,RN,Litoral,Eólica,0.0,10.455,51.0,0.205,2009-07-02
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-03
S,RS,,Eólica,0.0,2.532,70.0,0.0361714285714285,2009-07-03
NE,CE,Litoral,Eólica,42.5,33.111,54.6,0.6064285714285714,2009-07-03
NE,CE,Litoral,Eólica,54.0,50.626,105.0,0.4821523809523809,2009-07-03
NE,RN,Litoral,Eólica,0.0,17.882,51.0,0.3506274509803921,2009-07-03
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-03
S,RS,,Eólica,0.0,1.547,70.0,0.0221,2009-07-03
NE,CE,Litoral,Eólica,45.0,26.124,54.6,0.4784615384615384,2009-07-03
NE,CE,Litoral,Eólica,42.0,87.327,105.0,0.8316857142857143,2009-07-03
NE,RN,Litoral,Eólica,0.0,27.179,51.0,0.5329215686274509,2009-07-03
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-03
S,RS,,Eólica,0.0,1.686,70.0,0.0240857142857142,2009-07-03
NE,CE,Litoral,Eólica,46.0,24.414,54.6,0.4471428571428571,2009-07-03
NE,CE,Litoral,Eólica,64.5,93.889,105.0,0.8941809523809523,2009-07-03
NE,RN,Litoral,Eólica,0.0,33.139,51.0,0.6497843137254901,2009-07-03
NE,RN,Litoral,Eólica,0.0,0.0,31.35,0.0,2009-07-03
S,RS,,Eólica,0.0,4.921,70.0,0.0703,2009-07-03
